step,t1_surface,t1_golden,t2_surface,t2_golden,t3_surface,t3_golden,max_abs_diff
23,7.77377396163354,7.77377396163354,-5.150912028070854,-5.150912028070854,-5.260776131480513,-5.260776131480513,0.0
24,8.457129543819871,8.457129543819871,-5.800974981624791,-5.800974981624791,-5.69106966107124,-5.69106966107124,0.0
25,7.579476427966239,7.579476427966239,-5.54600046722096,-5.54600046722096,-3.5045034506116806,-3.5045034506116806,0.0
26,5.910052403235954,5.910052403235954,-4.626660625440879,-4.626660625440879,-2.2988613937373663,-2.2988613937373663,0.0
27,5.7360768630360175,5.7360768630360175,-4.657424025323688,-4.657424025323688,-2.70097760705585,-2.70097760705585,0.0
