i,la,Score_surface,Score_oracle,abs_diff
1,-1.0,17.70591269902516,17.70591269902516,0.0
2,-0.5,7.492685655841385,7.492685655841385,0.0
3,0.0,-0.9122373267858016,-0.9122373267858016,0.0
4,0.5,-9.551122450531237,-9.551122450531237,0.0
5,1.0,-18.55755190767541,-18.55755190767541,0.0
